epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.8487340807914734,0.7766522765159607,0.36736372113227844,0.8525899648666382,0.807099461555481,0.3491233289241791
1,0.851597785949707,0.8018415570259094,0.3521496057510376,0.853577733039856,0.8109320402145386,0.34620973467826843
2,0.8519464135169983,0.804872989654541,0.3497624099254608,0.8543040752410889,0.812740683555603,0.3446168303489685
3,0.8521642684936523,0.8067123889923096,0.3481837809085846,0.8540716171264648,0.8143925070762634,0.3433733880519867
4,0.8525440096855164,0.8080114126205444,0.3470263183116913,0.8541588187217712,0.8153191208839417,0.3425721526145935
5,0.8526623249053955,0.8090851902961731,0.34609100222587585,0.8545074462890625,0.8158297538757324,0.34190404415130615
6,0.8529175519943237,0.8097268342971802,0.34541502594947815,0.8543331027030945,0.8166067600250244,0.34119758009910583
7,0.8529424667358398,0.8103823065757751,0.3448241055011749,0.8541007041931152,0.8166720271110535,0.3409988582134247
8,0.8530856370925903,0.8108612298965454,0.3443927764892578,0.853868305683136,0.8170251846313477,0.3405281603336334
9,0.8530669808387756,0.8111892938613892,0.3440574109554291,0.8544202446937561,0.8172012567520142,0.34071075916290283
10,0.8531665802001953,0.8115731477737427,0.34368205070495605,0.8537229895591736,0.8175293207168579,0.34040117263793945
11,0.853172779083252,0.811826229095459,0.34342315793037415,0.853635847568512,0.8176766633987427,0.33994877338409424
12,0.8530856370925903,0.8120784163475037,0.343168705701828,0.8538392186164856,0.8175458312034607,0.3398917615413666
13,0.8532163500785828,0.8122795820236206,0.34296974539756775,0.8540716171264648,0.8179212808609009,0.3395858407020569
14,0.8533346652984619,0.8124787211418152,0.34277573227882385,0.8544783592224121,0.8181687593460083,0.3393969237804413
15,0.853266179561615,0.812694787979126,0.3425636291503906,0.8544493317604065,0.8182533979415894,0.3392261862754822
16,0.853266179561615,0.8128536343574524,0.34240779280662537,0.8544783592224121,0.8183572888374329,0.33927667140960693
17,0.8532101511955261,0.813008189201355,0.34226155281066895,0.8542168736457825,0.8183320760726929,0.3393402099609375
18,0.8532163500785828,0.8132591247558594,0.3420834541320801,0.8542749881744385,0.8184087872505188,0.3391805589199066
19,0.8533284068107605,0.813406229019165,0.34193915128707886,0.8542459607124329,0.818478524684906,0.3391936719417572
20,0.8534716367721558,0.8135086894035339,0.34183254837989807,0.8543040752410889,0.8185539245605469,0.33906441926956177
21,0.8534902930259705,0.8136678338050842,0.3417191803455353,0.8545945882797241,0.8185994625091553,0.3390302360057831
22,0.853440523147583,0.8137986063957214,0.3416058123111725,0.8545945882797241,0.8188222050666809,0.3388245105743408
23,0.8533720374107361,0.8138855695724487,0.3415248990058899,0.8546817302703857,0.8187750577926636,0.33899930119514465
24,0.8534529209136963,0.8139851093292236,0.34141606092453003,0.8545945882797241,0.8186217546463013,0.33909937739372253
25,0.8534591794013977,0.8140947222709656,0.34135541319847107,0.8547688722610474,0.8186739683151245,0.33924299478530884
26,0.8535089492797852,0.8141306042671204,0.341296911239624,0.8545655012130737,0.8187540769577026,0.3390514850616455
27,0.8535027503967285,0.8142404556274414,0.3412269055843353,0.854914128780365,0.8186165690422058,0.3390396535396576
