epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.8498919606208801,0.7872802019119263,0.35590270161628723,0.853635847568512,0.807464063167572,0.34358540177345276
1,0.8513549566268921,0.8006883859634399,0.3481296896934509,0.8543621897697449,0.8108958601951599,0.34155339002609253
2,0.8521393537521362,0.8041188716888428,0.34593096375465393,0.8543040752410889,0.8127400279045105,0.34044623374938965
3,0.8524755239486694,0.8063870668411255,0.34452390670776367,0.8544202446937561,0.813819944858551,0.33988505601882935
4,0.8525502681732178,0.8076752424240112,0.34371742606163025,0.8546236157417297,0.8150250315666199,0.33920592069625854
5,0.8528490662574768,0.8091306686401367,0.3427565097808838,0.8543331027030945,0.8158493041992188,0.33874762058258057
6,0.8532350659370422,0.8101376891136169,0.34210219979286194,0.8543912172317505,0.8165425062179565,0.3382066786289215
7,0.8532599806785583,0.8110166788101196,0.34153974056243896,0.8542459607124329,0.8168966174125671,0.3379618227481842
8,0.853440523147583,0.8116655349731445,0.3410961925983429,0.8543040752410889,0.8172298669815063,0.33775290846824646
9,0.853564977645874,0.8122618198394775,0.3406839072704315,0.8543912172317505,0.8174310922622681,0.3375266492366791
10,0.8533906936645508,0.8127552270889282,0.34034883975982666,0.8544202446937561,0.8174535632133484,0.33756083250045776
11,0.8537082076072693,0.8132835626602173,0.3399961590766907,0.8538973331451416,0.8174332976341248,0.33798903226852417
12,0.8538949489593506,0.8137233257293701,0.3397091031074524,0.8545074462890625,0.8174097537994385,0.33782634139060974
13,0.8539634346961975,0.814193844795227,0.33942487835884094,0.8539263606071472,0.8175026178359985,0.3377397060394287
14,0.8540754914283752,0.8145380616188049,0.33916354179382324,0.85381019115448,0.8176165819168091,0.3376435935497284
15,0.8542373776435852,0.8148226141929626,0.3389793038368225,0.8540135622024536,0.8174521923065186,0.33784225583076477
16,0.8540568351745605,0.8150453567504883,0.3388085663318634,0.8539844751358032,0.8176150321960449,0.3375242352485657
17,0.8541813492774963,0.8152841925621033,0.33865034580230713,0.8540716171264648,0.8175954818725586,0.3377150297164917
18,0.8541750907897949,0.8156302571296692,0.33843183517456055,0.8540135622024536,0.817112147808075,0.33805060386657715
19,0.8542186617851257,0.8158562183380127,0.3382800221443176,0.853693962097168,0.8170783519744873,0.3380376398563385
