epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.7239366769790649,0.7952055335044861,0.5597979426383972,0.6990500092506409,0.815972089767456,0.5523310303688049
1,0.744548499584198,0.8188508749008179,0.5310333967208862,0.7301647067070007,0.8161367177963257,0.5183010101318359
2,0.7482048869132996,0.8231826424598694,0.5247470140457153,0.7493971586227417,0.8153893947601318,0.4938242733478546
3,0.7508102655410767,0.8260607719421387,0.5197269320487976,0.7527381777763367,0.815802276134491,0.49190258979797363
4,0.7521662712097168,0.8280459642410278,0.516282320022583,0.7596234679222107,0.8152409791946411,0.48347729444503784
5,0.7533789277076721,0.830071210861206,0.5127003192901611,0.7648237943649292,0.815677285194397,0.47248730063438416
6,0.7554258108139038,0.8321488499641418,0.5093299746513367,0.7718253135681152,0.8154722452163696,0.4603089690208435
7,0.7563297748565674,0.8335111737251282,0.5069852471351624,0.7650561928749084,0.8152339458465576,0.4712182283401489
8,0.7586706280708313,0.8359713554382324,0.5034292340278625,0.7647075653076172,0.8131287097930908,0.46956557035446167
9,0.7596995234489441,0.8376742005348206,0.5008494257926941,0.7641265392303467,0.8135530352592468,0.47364649176597595
