epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.843660295009613,0.7456948161125183,0.38251587748527527,0.8514279127120972,0.8051779270172119,0.3492962121963501
1,0.8490453362464905,0.7866702079772949,0.3580254912376404,0.8525028228759766,0.8097062110900879,0.34535273909568787
2,0.8490951061248779,0.7940263748168945,0.3533235788345337,0.8527933359146118,0.8112632632255554,0.34285885095596313
3,0.8494188785552979,0.7967740297317505,0.3514447510242462,0.853635847568512,0.8124188780784607,0.34195104241371155
4,0.8501472473144531,0.7989413142204285,0.34999170899391174,0.8526771664619446,0.8135542869567871,0.3416420817375183
5,0.8502343893051147,0.8009986281394958,0.3485841453075409,0.8530548214912415,0.814316987991333,0.340973436832428
6,0.8504834175109863,0.8020073175430298,0.3479030430316925,0.8532291054725647,0.8143014311790466,0.3413930833339691
7,0.8501970171928406,0.8029711842536926,0.34737011790275574,0.8520380258560181,0.814624547958374,0.3408454656600952
8,0.8506390452384949,0.8042744398117065,0.346473753452301,0.8533744215965271,0.8152588605880737,0.3400782644748688
9,0.8501285314559937,0.8042176961898804,0.3465809226036072,0.852531909942627,0.815701961517334,0.34027567505836487
10,0.8502966165542603,0.8046694993972778,0.34628918766975403,0.8529095649719238,0.8163105249404907,0.34015920758247375
11,0.8508133292198181,0.8057776689529419,0.34563878178596497,0.8533453345298767,0.8166385293006897,0.33930936455726624
12,0.8511868715286255,0.8061352372169495,0.3453400135040283,0.8531129360198975,0.8168619871139526,0.33918440341949463
13,0.8512242436408997,0.8066422343254089,0.344994455575943,0.852531909942627,0.8169332146644592,0.33882543444633484
14,0.8512304425239563,0.8072991967201233,0.3446405827999115,0.8516312837600708,0.8169221878051758,0.3395175039768219
15,0.8508756160736084,0.8077247142791748,0.34441468119621277,0.852473795413971,0.8173935413360596,0.3388456702232361
16,0.8506016731262207,0.8078354597091675,0.3442966341972351,0.8527061939239502,0.8174534440040588,0.33864131569862366
17,0.8511806726455688,0.807968258857727,0.3441331088542938,0.8522704243659973,0.8180843591690063,0.3386087715625763
18,0.8509441018104553,0.8080648183822632,0.3441047966480255,0.8521832823753357,0.8175786733627319,0.33889660239219666
19,0.8507760167121887,0.8086159229278564,0.3438359498977661,0.8523575663566589,0.8178063631057739,0.3383895456790924
20,0.8512491583824158,0.8089233040809631,0.34356412291526794,0.8520670533180237,0.8172816038131714,0.3394436538219452
21,0.85112464427948,0.8091946244239807,0.343337744474411,0.852531909942627,0.817957878112793,0.33830538392066956
22,0.8513176441192627,0.8094375729560852,0.34326493740081787,0.8517765402793884,0.8180680274963379,0.338559091091156
