epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6713896989822388,0.7685132026672363,0.5881529450416565,0.5929810404777527,0.8126695156097412,0.6447545886039734
1,0.6837596893310547,0.7980669736862183,0.5565726161003113,0.6512303352355957,0.8165506720542908,0.5905516743659973
2,0.6876381039619446,0.8032348155975342,0.5502005815505981,0.679381787776947,0.8180253505706787,0.5609143376350403
3,0.6896613836288452,0.80521559715271,0.5474855303764343,0.6759827136993408,0.8187547326087952,0.5583989024162292
4,0.6909936666488647,0.8063042759895325,0.5456188321113586,0.6725254654884338,0.8187305927276611,0.5655800700187683
5,0.6937515139579773,0.8080602884292603,0.5430420637130737,0.6802242994308472,0.8191782832145691,0.5530813336372375
6,0.6960985064506531,0.8092394471168518,0.5410580635070801,0.6908573508262634,0.8194016218185425,0.5396974086761475
7,0.6963350772857666,0.8098547458648682,0.5397076606750488,0.6940820813179016,0.819611668586731,0.5396063923835754
8,0.6983957290649414,0.8095076084136963,0.5396659970283508,0.6934429407119751,0.8195987939834595,0.5411078333854675
9,0.6980719566345215,0.8106166124343872,0.5376954674720764,0.6892884969711304,0.8197119235992432,0.5454416275024414
10,0.7005186080932617,0.811108410358429,0.5367046594619751,0.7033497095108032,0.8199512958526611,0.5301594734191895
11,0.7015893459320068,0.8112372159957886,0.5359340906143188,0.7078236937522888,0.820101261138916,0.5231137275695801
12,0.7012718319892883,0.8113319873809814,0.5353632569313049,0.6973358988761902,0.8201355934143066,0.5322622656822205
13,0.6997404098510742,0.8115262985229492,0.5348294973373413,0.7045989632606506,0.8201062083244324,0.5210431814193726
14,0.7013092041015625,0.8122203350067139,0.5335049033164978,0.7002701759338379,0.820000410079956,0.5291498899459839
15,0.7018445730209351,0.8122751712799072,0.5331965088844299,0.7021004557609558,0.8202379941940308,0.5251902937889099
16,0.7008734345436096,0.8125235438346863,0.5321522355079651,0.6988756656646729,0.8203396797180176,0.525512158870697
17,0.7008236050605774,0.8126348257064819,0.5316355228424072,0.6996020078659058,0.8202639818191528,0.5287125706672668
18,0.7036935687065125,0.8131430745124817,0.5308725833892822,0.7073007822036743,0.8201191425323486,0.5214753746986389
19,0.7020375728607178,0.8134565353393555,0.5300344824790955,0.7040469646453857,0.8201996088027954,0.5195531249046326
20,0.7017698884010315,0.813113272190094,0.5302755236625671,0.7083756923675537,0.8204965591430664,0.5180245041847229
21,0.7018882036209106,0.8126845359802246,0.5305420756340027,0.7028558254241943,0.8205245733261108,0.5246977806091309
22,0.7034009695053101,0.8132634162902832,0.5298807621002197,0.7104674577713013,0.820557177066803,0.515041172504425
23,0.7031394839286804,0.8137420415878296,0.5287037491798401,0.6974231004714966,0.8205790519714355,0.5293737649917603
24,0.7036312818527222,0.8139250874519348,0.5282154083251953,0.7034078240394592,0.8202961683273315,0.5214758515357971
25,0.7020936012268066,0.8137589693069458,0.5285456776618958,0.7026814818382263,0.8200315833091736,0.5209470391273499
26,0.7023488879203796,0.8136028051376343,0.5281020998954773,0.7016065716743469,0.8203041553497314,0.5283363461494446
27,0.7057417035102844,0.8139296770095825,0.5279160737991333,0.7023038268089294,0.8201910257339478,0.525118350982666
28,0.7032515406608582,0.8144646883010864,0.5271080732345581,0.703059196472168,0.8204333186149597,0.5240315198898315
29,0.703930139541626,0.8144086003303528,0.5270942449569702,0.6971616148948669,0.8203173279762268,0.529383659362793
